Developer,State,Parking Lot,Ad List,Bus Stop,Firm Number,Park,Property Size,Nearby Mall,Tenure Type,Bedroom,REN Number,Facilities,Completion Year,price,Nearby School,Property Type
Syarikat Perumahan Negara Berhad,Johor,2,103796796,Pudu Sentral,77778,Selangor State Park,872,The Exchange TRX,Leasehold,2,REN 63582,"Jogging Track, Barbeque area, Multipurpose hall",2014,350000,SMK Bukit Jambul,Condominium
Maxim Holdings,Penang,2,103796803,KL Central,10006,Gunung Ledang National Park,700,The Exchange TRX,Freehold,3,REN 35857,"Sauna, Minimart, Lift, Playground, Security, Tennis Court",2016,230000,SM Sains T. Munawir,Apartment
ALPHA ASTRAL REALTY SDN BHD,Johor,1,103282247,Seremban Bus terminal,77778,Gunung Ledang National Park,1005,The Exchange TRX,Freehold,2,REN 63582,"Squash Court, Parking, Minimart, Swimming Pool, Barbeque area, Sauna, Security, Club house",2015,540000,MRSM Tun Ghafar Baba,Condominium
Suntrack Development Sdn Bhd,Johor,1,103419115,Seremban Bus terminal,77778,Selangor State Park,517,One Utama,Freehold,2,REN 31645,Lift,2023,118000,SM imtiaz Kemaman,Flat
SCP Group,Kuala Lumpur,1,103425319,Pudu Sentral,18343,Selangor State Park,918,The Exchange TRX,Freehold,4,REN 65640,"Tennis Court, Swimming Pool, Security, Playground, Sauna, Multipurpose hall, Minimart",2005,520000,MRSM Tun Ghafar Baba,Service Residence
Masteron Group,Penang,2,98409917,Seremban Bus terminal,31936,Gunung Ledang National Park,807,Sunway Pyramid,Leasehold,3,REN 46691,"Gymnasium, Club house, Sauna, Lift, Barbeque area, Minimart",1992,200000,Sekolah Seni Malaysia,Apartment
Syarikat Perumahan Negara Berhad,Selangor,2,101279647,Seremban Bus terminal,31936,Gunung Ledang National Park,645,Sunway Pyramid,Freehold,3,REN 46691,"Barbeque area, Parking, Jogging Track, Playground, Club house, Swimming Pool, Gymnasium, Security",1991,99000,Sekolah Menengah Kebangsaan Taman Desa 2,Apartment
Scientex Berhad,Selangor,1,101382844,"Bus Stop at Jalan Daisi 5
Bus Stop at SMK Bukit Sentosa
Bus Stop at Masjid As Salam Bukit Sentosa",31936,Selangor State Park,790,Berjaya Times Square,Freehold,3,REN 46691,Playground,2020,108000,SRA Bukit Sentosa Fasa 1,Apartment
SHL Consolidated Berhad,Johor,2,103760421,Pudu Sentral,77778,Penang National Park,1035,Berjaya Times Square,Freehold,3,REN 31645,"Security, Barbeque area, Swimming Pool, Minimart, Jogging Track, Club house, Tennis Court, Playground, Sauna, Squash Court",1993,528000,SM imtiaz Kemaman,Apartment
Mi Nest Development Sdn Bhd,Johor,1,103761088,Seremban Bus terminal,31582,Selangor State Park,520,One Utama,Freehold,2,REN 50789,"Minimart, Sauna, Jogging Track, Playground, Parking, Tennis Court, Squash Court, Security",2009,98000,SM imtiaz Kemaman,Flat
